,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"mu[13843, 0]",3.01,0.081,2.866,3.164,0.001,0.001,3458.0,1502.0,1.0
"mu[13843, 1]",24.289,0.853,22.615,25.837,0.012,0.008,5432.0,1381.0,1.0
"mu[13843, 2]",48.877,1.162,46.688,50.967,0.017,0.012,4493.0,1450.0,1.0
"mu[13844, 0]",2.825,0.082,2.668,2.968,0.001,0.001,3514.0,1552.0,1.0
"mu[13844, 1]",23.037,0.848,21.369,24.597,0.011,0.008,5871.0,1507.0,1.0
"mu[13844, 2]",48.636,1.174,46.429,50.747,0.018,0.012,4459.0,1435.0,1.0
"mu[13845, 0]",5.185,0.084,5.027,5.344,0.001,0.001,4246.0,1331.0,1.0
"mu[13845, 1]",25.907,0.879,24.26,27.568,0.013,0.009,4949.0,1322.0,1.0
"mu[13845, 2]",45.05,1.053,43.072,46.949,0.017,0.012,3690.0,1237.0,1.0
"mu[13846, 0]",5.287,0.084,5.126,5.443,0.001,0.001,4338.0,1214.0,1.0
"mu[13846, 1]",22.993,0.89,21.408,24.681,0.014,0.01,4286.0,1126.0,1.0
"mu[13846, 2]",47.379,1.162,45.244,49.586,0.018,0.013,4196.0,1442.0,1.0
"mu[13847, 0]",5.312,0.084,5.151,5.469,0.001,0.001,4609.0,1346.0,1.0
"mu[13847, 1]",24.551,0.892,22.943,26.332,0.013,0.009,4846.0,1267.0,1.0
"mu[13847, 2]",50.614,1.166,48.422,52.728,0.017,0.012,4590.0,1236.0,1.0
"mu[13848, 0]",5.341,0.084,5.187,5.508,0.001,0.001,4843.0,1447.0,1.0
"mu[13848, 1]",24.275,0.893,22.547,25.898,0.013,0.009,4883.0,1397.0,1.0
"mu[13848, 2]",49.663,1.119,47.524,51.72,0.019,0.013,3429.0,1643.0,1.0
"mu[13849, 0]",5.149,0.084,4.994,5.311,0.001,0.001,4585.0,1270.0,1.0
"mu[13849, 1]",22.958,0.893,21.307,24.642,0.013,0.009,4857.0,1337.0,1.0
"mu[13849, 2]",49.16,1.144,46.915,51.146,0.018,0.013,4075.0,1429.0,1.0
"mu[13850, 0]",4.433,0.081,4.286,4.593,0.002,0.001,1648.0,1273.0,1.0
"mu[13850, 1]",25.346,0.855,23.73,26.914,0.012,0.008,5239.0,1586.0,1.0
"mu[13850, 2]",46.357,1.104,44.298,48.461,0.019,0.013,3471.0,1514.0,1.0
"mu[13851, 0]",4.494,0.082,4.331,4.645,0.002,0.001,2174.0,1432.0,1.0
"mu[13851, 1]",23.058,0.86,21.419,24.692,0.012,0.009,5030.0,1583.0,1.0
"mu[13851, 2]",48.649,1.181,46.491,50.845,0.019,0.013,3800.0,1579.0,1.0
"mu[13852, 0]",4.521,0.083,4.363,4.678,0.002,0.001,1806.0,1495.0,1.0
"mu[13852, 1]",24.397,0.863,22.956,26.158,0.012,0.008,5389.0,1513.0,1.0
"mu[13852, 2]",51.927,1.179,49.761,54.095,0.018,0.013,4250.0,1877.0,1.0
"mu[13853, 0]",4.55,0.082,4.402,4.709,0.002,0.001,1952.0,1280.0,1.0
"mu[13853, 1]",24.177,0.861,22.46,25.72,0.012,0.008,5298.0,1780.0,1.0
"mu[13853, 2]",51.12,1.164,49.054,53.369,0.02,0.014,3460.0,1694.0,1.0
"mu[13854, 0]",4.389,0.082,4.223,4.53,0.002,0.001,2007.0,1428.0,1.0
"mu[13854, 1]",22.935,0.872,21.192,24.5,0.012,0.009,5286.0,1722.0,1.0
"mu[13854, 2]",50.572,1.19,48.437,52.948,0.019,0.013,4095.0,1601.0,1.0
"mu[13855, 0]",5.87,0.077,5.726,6.013,0.001,0.001,2836.0,1273.0,1.0
"mu[13855, 1]",25.251,0.891,23.517,26.843,0.014,0.01,3960.0,1160.0,1.0
"mu[13855, 2]",44.431,1.118,42.288,46.517,0.017,0.012,4453.0,1584.0,1.0
"mu[13856, 0]",5.964,0.078,5.825,6.122,0.001,0.001,2857.0,1245.0,1.0
"mu[13856, 1]",23.133,0.887,21.478,24.794,0.014,0.01,3768.0,973.0,1.0
"mu[13856, 2]",46.452,1.261,44.035,48.774,0.019,0.013,4622.0,1730.0,1.0
"mu[13857, 0]",5.986,0.078,5.846,6.14,0.001,0.001,2789.0,1122.0,1.0
"mu[13857, 1]",24.54,0.893,22.8,26.18,0.015,0.01,3739.0,1079.0,1.0
"mu[13857, 2]",49.69,1.221,47.331,51.915,0.018,0.013,4569.0,1345.0,1.0
"mu[13858, 0]",6.018,0.077,5.874,6.161,0.001,0.001,2734.0,1167.0,1.0
"mu[13858, 1]",24.316,0.898,22.716,26.125,0.014,0.01,4086.0,1129.0,1.0
"mu[13858, 2]",48.79,1.216,46.462,51.039,0.017,0.012,4913.0,1571.0,1.0
"mu[13859, 0]",5.833,0.077,5.682,5.966,0.001,0.001,2813.0,1311.0,1.0
"mu[13859, 1]",23.064,0.89,21.372,24.723,0.014,0.01,3903.0,1060.0,1.0
"mu[13859, 2]",48.548,1.182,46.254,50.652,0.017,0.012,4733.0,1573.0,1.0
"mu_subject[0, 0]",-1.147,0.096,-1.319,-0.96,0.008,0.006,140.0,598.0,1.01
"mu_subject[0, 1]",-0.302,0.876,-1.977,1.325,0.012,0.022,5027.0,1339.0,1.0
"mu_subject[0, 2]",0.268,0.966,-1.615,2.057,0.016,0.022,3883.0,1461.0,1.0
"mu_subject[1, 0]",-0.903,0.088,-1.061,-0.733,0.008,0.005,129.0,507.0,1.02
"mu_subject[1, 1]",0.935,0.87,-0.684,2.575,0.012,0.014,5432.0,1581.0,1.0
"mu_subject[1, 2]",-0.182,0.989,-1.876,1.764,0.015,0.027,4524.0,1456.0,1.0
"mu_subject[2, 0]",1.449,0.091,1.286,1.621,0.009,0.006,104.0,454.0,1.02
"mu_subject[2, 1]",1.276,0.879,-0.316,3.007,0.011,0.013,6027.0,1315.0,1.0
"mu_subject[2, 2]",-0.097,0.962,-1.881,1.741,0.014,0.025,4503.0,1459.0,1.0
"mu_subject[3, 0]",-0.388,0.092,-0.572,-0.231,0.008,0.006,139.0,394.0,1.01
"mu_subject[3, 1]",-1.383,0.9,-3.044,0.337,0.012,0.013,5748.0,1416.0,1.0
"mu_subject[3, 2]",0.004,0.961,-1.807,1.704,0.013,0.023,5204.0,1620.0,1.0
"mu_subject[4, 0]",-1.925,0.093,-2.101,-1.755,0.012,0.009,57.0,455.0,1.04
"mu_subject[4, 1]",0.71,0.876,-0.884,2.388,0.012,0.017,5628.0,1484.0,1.0
"mu_subject[4, 2]",0.204,0.957,-1.547,2.085,0.014,0.024,4834.0,1495.0,1.0
"mu_subject[5, 0]",-0.961,0.096,-1.138,-0.779,0.008,0.006,143.0,744.0,1.01
"mu_subject[5, 1]",0.294,0.861,-1.417,1.837,0.013,0.02,4682.0,1581.0,1.0
"mu_subject[5, 2]",0.521,1.024,-1.42,2.466,0.014,0.023,5685.0,1156.0,1.0
"mu_subject[6, 0]",-0.544,0.09,-0.717,-0.378,0.007,0.005,148.0,575.0,1.01
"mu_subject[6, 1]",0.671,0.86,-0.976,2.2,0.011,0.016,5899.0,1530.0,1.0
"mu_subject[6, 2]",-0.098,1.001,-1.925,1.752,0.016,0.026,4168.0,1335.0,1.0
"mu_subject[7, 0]",0.446,0.092,0.261,0.605,0.009,0.007,99.0,281.0,1.02
"mu_subject[7, 1]",-0.104,0.864,-1.667,1.48,0.011,0.025,5685.0,1260.0,1.0
"mu_subject[7, 2]",-0.192,1.057,-2.192,1.698,0.013,0.026,6228.0,1523.0,1.0
"mu_subject[8, 0]",0.694,0.093,0.514,0.853,0.008,0.006,125.0,597.0,1.01
"mu_subject[8, 1]",-0.807,0.841,-2.359,0.779,0.013,0.015,4375.0,1374.0,1.01
"mu_subject[8, 2]",0.07,1.008,-1.698,1.966,0.013,0.025,5749.0,1475.0,1.0
"mu_subject[9, 0]",0.681,0.094,0.499,0.845,0.01,0.007,93.0,605.0,1.03
"mu_subject[9, 1]",1.329,0.905,-0.256,3.061,0.012,0.015,5576.0,1066.0,1.0
"mu_subject[9, 2]",0.143,0.995,-1.824,2.007,0.015,0.026,4659.0,1292.0,1.0
"mu_subject[10, 0]",-1.039,0.089,-1.207,-0.875,0.007,0.005,181.0,447.0,1.01
"mu_subject[10, 1]",0.931,0.914,-0.86,2.493,0.013,0.017,4843.0,1290.0,1.0
"mu_subject[10, 2]",0.472,0.975,-1.272,2.381,0.013,0.019,5347.0,1627.0,1.0
"mu_subject[11, 0]",2.115,0.093,1.946,2.29,0.012,0.009,59.0,313.0,1.04
"mu_subject[11, 1]",1.535,0.851,-0.056,3.043,0.011,0.011,5829.0,1412.0,1.0
"mu_subject[11, 2]",-0.384,1.021,-2.515,1.337,0.014,0.023,5057.0,1477.0,1.0
"mu_subject[12, 0]",-0.775,0.092,-0.935,-0.587,0.009,0.007,97.0,434.0,1.03
"mu_subject[12, 1]",-0.583,0.873,-2.441,0.91,0.012,0.019,4852.0,1464.0,1.0
"mu_subject[12, 2]",0.045,0.974,-1.68,1.947,0.016,0.027,3837.0,1291.0,1.0
"mu_subject[13, 0]",1.25,0.096,1.071,1.429,0.011,0.008,76.0,469.0,1.01
"mu_subject[13, 1]",0.039,0.886,-1.667,1.697,0.013,0.024,4599.0,1227.0,1.0
"mu_subject[13, 2]",-0.127,1.017,-2.012,1.849,0.013,0.026,6602.0,1567.0,1.0
"mu_subject[14, 0]",-1.811,0.094,-1.987,-1.633,0.009,0.006,122.0,462.0,1.02
"mu_subject[14, 1]",-0.026,0.92,-1.845,1.619,0.014,0.03,4375.0,1144.0,1.0
"mu_subject[14, 2]",0.549,0.962,-1.183,2.384,0.014,0.019,4382.0,1476.0,1.0
"mu_subject[15, 0]",-0.782,0.097,-0.956,-0.603,0.01,0.007,101.0,547.0,1.03
"mu_subject[15, 1]",-0.021,0.861,-1.693,1.558,0.013,0.021,4101.0,1509.0,1.0
"mu_subject[15, 2]",0.222,1.009,-1.611,2.136,0.014,0.025,5280.0,1340.0,1.0
"mu_subject[16, 0]",-1.199,0.095,-1.382,-1.026,0.009,0.007,103.0,571.0,1.02
"mu_subject[16, 1]",0.783,0.857,-0.835,2.382,0.015,0.014,3470.0,1491.0,1.0
"mu_subject[16, 2]",0.517,0.956,-1.255,2.281,0.015,0.019,4249.0,1313.0,1.0
"mu_subject[17, 0]",-0.082,0.096,-0.259,0.105,0.024,0.017,16.0,104.0,1.08
"mu_subject[17, 1]",0.56,0.88,-1.075,2.21,0.013,0.019,4408.0,1365.0,1.0
"mu_subject[17, 2]",0.327,0.992,-1.623,2.073,0.014,0.026,4764.0,1439.0,1.0
"mu_subject[18, 0]",-1.107,0.094,-1.279,-0.927,0.01,0.007,97.0,450.0,1.03
"mu_subject[18, 1]",0.991,0.833,-0.645,2.47,0.011,0.013,5376.0,1468.0,1.0
"mu_subject[18, 2]",0.039,1.007,-1.749,2.019,0.015,0.024,4639.0,1477.0,1.0
"mu_subject[19, 0]",-2.232,0.097,-2.415,-2.057,0.01,0.007,100.0,369.0,1.03
"mu_subject[19, 1]",-1.078,0.819,-2.507,0.535,0.014,0.013,3596.0,1583.0,1.0
"mu_subject[19, 2]",0.119,0.993,-1.754,1.926,0.014,0.025,4724.0,1416.0,1.0
"mu_subject[20, 0]",0.44,0.096,0.257,0.615,0.01,0.007,101.0,547.0,1.02
"mu_subject[20, 1]",0.147,0.869,-1.477,1.785,0.013,0.025,4524.0,1268.0,1.0
"mu_subject[20, 2]",-0.338,0.991,-2.087,1.611,0.013,0.023,5941.0,1735.0,1.0
"mu_subject[21, 0]",0.063,0.09,-0.101,0.24,0.008,0.006,130.0,436.0,1.02
"mu_subject[21, 1]",-0.638,0.878,-2.344,0.933,0.011,0.017,5992.0,1384.0,1.0
"mu_subject[21, 2]",0.129,0.978,-1.783,1.87,0.014,0.022,4707.0,1669.0,1.0
"mu_subject[22, 0]",0.861,0.095,0.688,1.044,0.012,0.008,64.0,649.0,1.04
"mu_subject[22, 1]",0.753,0.88,-0.867,2.349,0.012,0.016,5611.0,1010.0,1.0
"mu_subject[22, 2]",-0.31,1.073,-2.35,1.516,0.016,0.026,4749.0,1472.0,1.0
"mu_subject[23, 0]",-0.608,0.092,-0.783,-0.435,0.007,0.005,175.0,933.0,1.01
"mu_subject[23, 1]",-0.045,0.844,-1.668,1.525,0.012,0.025,4659.0,965.0,1.0
"mu_subject[23, 2]",0.238,1.018,-1.773,2.06,0.014,0.023,5376.0,1290.0,1.01
"mu_subject[24, 0]",-1.266,0.095,-1.455,-1.098,0.022,0.016,19.0,170.0,1.07
"mu_subject[24, 1]",-0.247,0.86,-1.827,1.352,0.011,0.023,6057.0,1409.0,1.0
"mu_subject[24, 2]",0.059,1.014,-1.822,1.869,0.015,0.026,4665.0,1438.0,1.0
"mu_subject[25, 0]",-0.648,0.099,-0.827,-0.461,0.024,0.017,18.0,167.0,1.07
"mu_subject[25, 1]",-1.137,0.855,-2.659,0.526,0.012,0.013,5077.0,1433.0,1.01
"mu_subject[25, 2]",0.307,0.995,-1.49,2.138,0.018,0.022,3182.0,1504.0,1.0
"mu_subject[26, 0]",0.946,0.093,0.772,1.118,0.01,0.007,96.0,366.0,1.03
"mu_subject[26, 1]",-1.267,0.894,-2.865,0.428,0.014,0.015,3778.0,1293.0,1.01
"mu_subject[26, 2]",-0.074,1.025,-1.949,1.822,0.014,0.027,5370.0,1411.0,1.0
"mu_subject[27, 0]",0.134,0.095,-0.04,0.307,0.01,0.007,94.0,341.0,1.03
"mu_subject[27, 1]",0.054,0.865,-1.589,1.597,0.014,0.022,3601.0,1532.0,1.0
"mu_subject[27, 2]",0.238,0.979,-1.7,2.043,0.014,0.025,4894.0,1322.0,1.0
"mu_subject[28, 0]",-0.07,0.093,-0.247,0.101,0.009,0.007,97.0,407.0,1.03
"mu_subject[28, 1]",-0.45,0.862,-2.012,1.17,0.012,0.019,5101.0,1286.0,1.0
"mu_subject[28, 2]",0.147,1.025,-1.849,1.997,0.013,0.031,6602.0,1256.0,1.0
"mu_subject[29, 0]",-1.499,0.091,-1.665,-1.33,0.007,0.005,159.0,422.0,1.01
"mu_subject[29, 1]",-0.254,0.851,-1.924,1.259,0.013,0.02,4253.0,1427.0,1.0
"mu_subject[29, 2]",0.129,0.996,-1.63,2.172,0.014,0.026,4709.0,1412.0,1.0
"mu_subject[30, 0]",1.77,0.091,1.587,1.927,0.009,0.006,107.0,372.0,1.02
"mu_subject[30, 1]",1.099,0.85,-0.452,2.799,0.012,0.014,4649.0,1324.0,1.0
"mu_subject[30, 2]",-0.586,0.986,-2.486,1.221,0.014,0.023,5339.0,1270.0,1.0
"mu_subject[31, 0]",-0.974,0.097,-1.153,-0.802,0.012,0.008,68.0,366.0,1.01
"mu_subject[31, 1]",-0.72,0.876,-2.433,0.845,0.013,0.016,4788.0,1437.0,1.0
"mu_subject[31, 2]",-0.068,1.04,-2.1,1.76,0.015,0.028,4673.0,1364.0,1.0
"mu_subject[32, 0]",0.743,0.095,0.565,0.923,0.012,0.009,62.0,380.0,1.01
"mu_subject[32, 1]",0.586,0.879,-1.043,2.333,0.012,0.018,5813.0,1422.0,1.0
"mu_subject[32, 2]",0.164,1.023,-1.698,2.036,0.014,0.027,5210.0,1306.0,1.0
"mu_subject[33, 0]",2.179,0.096,2.006,2.366,0.008,0.006,128.0,328.0,1.01
"mu_subject[33, 1]",0.675,0.867,-0.938,2.235,0.012,0.018,5465.0,1253.0,1.0
"mu_subject[33, 2]",-0.072,0.979,-1.765,1.756,0.014,0.025,4649.0,1592.0,1.0
"mu_subject[34, 0]",1.25,0.099,1.064,1.422,0.024,0.017,17.0,112.0,1.07
"mu_subject[34, 1]",-0.428,0.844,-2.054,1.055,0.011,0.017,5497.0,1554.0,1.0
"mu_subject[34, 2]",-0.437,1.019,-2.466,1.433,0.016,0.027,4047.0,1183.0,1.0
"mu_subject[35, 0]",-1.328,0.095,-1.521,-1.162,0.009,0.006,111.0,703.0,1.02
"mu_subject[35, 1]",0.984,0.933,-0.797,2.73,0.011,0.019,6602.0,1049.0,1.0
"mu_subject[35, 2]",0.378,1.002,-1.523,2.16,0.015,0.026,4711.0,1174.0,1.0
"mu_subject[36, 0]",0.217,0.093,0.052,0.397,0.009,0.007,102.0,554.0,1.02
"mu_subject[36, 1]",0.399,0.83,-1.2,1.852,0.012,0.019,4534.0,1519.0,1.0
"mu_subject[36, 2]",0.125,1.037,-1.886,2.0,0.013,0.029,6602.0,1178.0,1.0
"mu_subject[37, 0]",-0.776,0.098,-0.956,-0.599,0.01,0.007,97.0,640.0,1.03
"mu_subject[37, 1]",0.459,0.886,-1.16,2.145,0.011,0.022,6031.0,1111.0,1.0
"mu_subject[37, 2]",0.158,1.023,-1.647,2.227,0.015,0.03,4967.0,1218.0,1.0
"mu_subject[38, 0]",1.245,0.095,1.072,1.422,0.023,0.016,18.0,265.0,1.07
"mu_subject[38, 1]",0.747,0.947,-1.035,2.495,0.012,0.02,6602.0,978.0,1.0
"mu_subject[38, 2]",-0.346,0.994,-2.182,1.542,0.014,0.026,5358.0,1225.0,1.01
"mu_subject[39, 0]",-0.081,0.09,-0.242,0.102,0.007,0.005,177.0,592.0,1.01
"mu_subject[39, 1]",0.272,0.845,-1.327,1.838,0.015,0.019,3295.0,1557.0,1.0
"mu_subject[39, 2]",0.261,1.007,-1.764,2.104,0.015,0.025,4179.0,1356.0,1.0
"mu_subject[40, 0]",1.747,0.098,1.551,1.913,0.024,0.017,17.0,113.0,1.08
"mu_subject[40, 1]",-0.058,0.865,-1.611,1.596,0.013,0.021,4388.0,1532.0,1.0
"mu_subject[40, 2]",0.011,0.948,-1.843,1.734,0.013,0.023,5001.0,1532.0,1.0
"mu_subject[41, 0]",-1.929,0.097,-2.096,-1.735,0.022,0.016,19.0,161.0,1.07
"mu_subject[41, 1]",-0.389,0.905,-2.152,1.343,0.014,0.024,4298.0,1007.0,1.01
"mu_subject[41, 2]",0.312,0.976,-1.435,2.18,0.015,0.024,4147.0,1453.0,1.0
"mu_subject[42, 0]",-2.485,0.095,-2.672,-2.316,0.009,0.006,109.0,266.0,1.02
"mu_subject[42, 1]",0.575,0.878,-1.045,2.211,0.012,0.018,5211.0,1403.0,1.0
"mu_subject[42, 2]",0.32,1.003,-1.516,2.166,0.015,0.023,4652.0,1563.0,1.0
"mu_subject[43, 0]",-0.533,0.096,-0.71,-0.358,0.012,0.009,60.0,484.0,1.04
"mu_subject[43, 1]",0.707,0.888,-0.922,2.422,0.012,0.026,5469.0,792.0,1.0
"mu_subject[43, 2]",-0.058,0.996,-2.078,1.723,0.014,0.026,4949.0,1361.0,1.0
"mu_subject[44, 0]",0.142,0.093,-0.019,0.334,0.009,0.006,112.0,405.0,1.02
"mu_subject[44, 1]",-0.88,0.881,-2.457,0.797,0.012,0.015,5538.0,1169.0,1.01
"mu_subject[44, 2]",-0.47,1.021,-2.303,1.412,0.015,0.022,4618.0,1409.0,1.0
"mu_subject[45, 0]",-0.819,0.094,-0.996,-0.652,0.01,0.007,82.0,395.0,1.03
"mu_subject[45, 1]",0.264,0.844,-1.328,1.839,0.011,0.022,5842.0,1461.0,1.0
"mu_subject[45, 2]",0.305,0.995,-1.554,2.143,0.015,0.023,4708.0,1474.0,1.0
"mu_subject[46, 0]",2.511,0.093,2.338,2.687,0.009,0.006,107.0,288.0,1.02
"mu_subject[46, 1]",-1.511,0.887,-3.074,0.177,0.012,0.011,5174.0,1327.0,1.0
"mu_subject[46, 2]",-0.529,0.978,-2.467,1.238,0.016,0.022,3804.0,1117.0,1.0
"mu_subject[47, 0]",-1.449,0.096,-1.626,-1.268,0.008,0.006,153.0,370.0,1.01
"mu_subject[47, 1]",-0.925,0.889,-2.611,0.668,0.013,0.015,4337.0,1578.0,1.0
"mu_subject[47, 2]",0.226,1.001,-1.528,2.31,0.014,0.024,4832.0,1443.0,1.0
"mu_subject[48, 0]",-0.884,0.092,-1.047,-0.702,0.009,0.007,94.0,360.0,1.03
"mu_subject[48, 1]",-0.967,0.873,-2.574,0.696,0.012,0.015,5297.0,1296.0,1.0
"mu_subject[48, 2]",0.249,0.992,-1.627,2.05,0.014,0.025,4841.0,1343.0,1.0
"mu_subject[49, 0]",0.232,0.099,0.04,0.402,0.023,0.017,19.0,74.0,1.07
"mu_subject[49, 1]",0.614,0.915,-1.015,2.358,0.015,0.024,3708.0,1046.0,1.0
"mu_subject[49, 2]",0.232,1.026,-1.621,2.222,0.015,0.026,4881.0,1224.0,1.0
"mu_subject[50, 0]",-2.115,0.096,-2.28,-1.924,0.011,0.008,76.0,298.0,1.01
"mu_subject[50, 1]",1.052,0.923,-0.679,2.723,0.012,0.015,6360.0,1131.0,1.0
"mu_subject[50, 2]",-0.248,1.019,-2.071,1.727,0.014,0.026,5135.0,1356.0,1.0
"mu_subject[51, 0]",-0.381,0.093,-0.544,-0.199,0.012,0.009,59.0,274.0,1.01
"mu_subject[51, 1]",-1.285,0.828,-2.882,0.252,0.012,0.013,4962.0,1398.0,1.0
"mu_subject[51, 2]",0.057,1.005,-1.773,2.012,0.015,0.027,4537.0,1406.0,1.0
"mu_subject[52, 0]",0.289,0.096,0.113,0.465,0.012,0.009,64.0,447.0,1.01
"mu_subject[52, 1]",0.378,0.873,-1.213,1.994,0.012,0.02,5701.0,1128.0,1.0
"mu_subject[52, 2]",0.088,0.985,-1.827,1.857,0.015,0.025,4493.0,1430.0,1.0
"mu_subject[53, 0]",0.016,0.098,-0.152,0.213,0.025,0.018,16.0,175.0,1.08
"mu_subject[53, 1]",0.509,0.89,-1.06,2.249,0.012,0.018,5167.0,1381.0,1.0
"mu_subject[53, 2]",0.31,0.954,-1.459,2.014,0.013,0.023,5140.0,1292.0,1.0
"mu_subject[54, 0]",-1.329,0.093,-1.487,-1.143,0.007,0.005,156.0,358.0,1.01
"mu_subject[54, 1]",0.666,0.856,-0.869,2.379,0.012,0.017,5083.0,1109.0,1.0
"mu_subject[54, 2]",0.087,0.995,-1.804,1.961,0.015,0.025,4345.0,1463.0,1.0
"mu_subject[55, 0]",0.725,0.093,0.552,0.897,0.009,0.007,96.0,298.0,1.03
"mu_subject[55, 1]",0.134,0.866,-1.404,1.759,0.012,0.023,5424.0,1314.0,1.0
"mu_subject[55, 2]",0.007,0.94,-1.841,1.625,0.012,0.023,6291.0,1768.0,1.0
"mu_subject[56, 0]",0.2,0.09,0.048,0.381,0.008,0.006,123.0,865.0,1.01
"mu_subject[56, 1]",0.315,0.902,-1.451,1.938,0.012,0.024,5732.0,1394.0,1.0
"mu_subject[56, 2]",0.145,1.004,-1.819,1.931,0.015,0.023,4727.0,1392.0,1.0
"mu_subject[57, 0]",1.476,0.097,1.304,1.662,0.024,0.017,17.0,123.0,1.08
"mu_subject[57, 1]",1.356,0.93,-0.24,3.238,0.013,0.014,5154.0,1385.0,1.0
"mu_subject[57, 2]",-0.12,0.94,-1.869,1.643,0.014,0.024,4602.0,1460.0,1.0
"mu_subject[58, 0]",-1.032,0.099,-1.223,-0.857,0.024,0.017,17.0,46.0,1.08
"mu_subject[58, 1]",-0.078,0.885,-1.666,1.636,0.012,0.022,6008.0,1478.0,1.0
"mu_subject[58, 2]",0.233,0.994,-1.744,2.0,0.014,0.028,4798.0,1272.0,1.0
"mu_subject[59, 0]",0.426,0.093,0.256,0.603,0.011,0.007,77.0,385.0,1.03
"mu_subject[59, 1]",-0.596,0.889,-2.205,1.092,0.013,0.018,4835.0,1575.0,1.01
"mu_subject[59, 2]",0.381,0.967,-1.38,2.254,0.017,0.021,3178.0,1385.0,1.0
"mu_subject[60, 0]",2.129,0.1,1.954,2.32,0.011,0.008,79.0,449.0,1.01
"mu_subject[60, 1]",-0.443,0.848,-2.143,1.077,0.012,0.02,5005.0,1299.0,1.01
"mu_subject[60, 2]",-0.461,0.991,-2.268,1.375,0.014,0.022,5104.0,1490.0,1.0
"mu_subject[61, 0]",-1.2,0.1,-1.398,-1.026,0.025,0.018,15.0,152.0,1.08
"mu_subject[61, 1]",-1.391,0.846,-3.148,0.06,0.014,0.013,3916.0,1156.0,1.0
"mu_subject[61, 2]",0.357,0.933,-1.35,2.13,0.012,0.021,6529.0,1461.0,1.0
"mu_subject[62, 0]",2.956,0.09,2.771,3.106,0.008,0.005,141.0,651.0,1.01
"mu_subject[62, 1]",-1.021,0.88,-2.814,0.514,0.013,0.014,4908.0,1272.0,1.0
"mu_subject[62, 2]",-0.463,0.983,-2.31,1.398,0.016,0.023,3920.0,1482.0,1.0
"mu_subject[63, 0]",0.514,0.1,0.331,0.7,0.023,0.017,19.0,158.0,1.07
"mu_subject[63, 1]",-1.12,0.928,-2.827,0.587,0.013,0.016,4989.0,1075.0,1.01
"mu_subject[63, 2]",-0.478,1.027,-2.246,1.563,0.015,0.026,5024.0,1171.0,1.0
"mu_subject[64, 0]",-0.841,0.095,-1.037,-0.678,0.01,0.007,92.0,262.0,1.03
"mu_subject[64, 1]",-0.033,0.899,-1.69,1.685,0.013,0.023,5046.0,1263.0,1.0
"mu_subject[64, 2]",-0.217,0.983,-2.186,1.542,0.015,0.024,4572.0,1452.0,1.0
"mu_subject[65, 0]",1.709,0.1,1.52,1.887,0.012,0.008,72.0,355.0,1.01
"mu_subject[65, 1]",0.705,0.863,-0.905,2.288,0.013,0.018,4201.0,1041.0,1.0
"mu_subject[65, 2]",0.159,0.987,-1.705,2.01,0.014,0.024,5201.0,1402.0,1.0
"mu_subject[66, 0]",-2.635,0.094,-2.815,-2.458,0.009,0.007,102.0,347.0,1.03
"mu_subject[66, 1]",-0.212,0.874,-1.798,1.501,0.013,0.026,4486.0,1098.0,1.0
"mu_subject[66, 2]",0.352,1.008,-1.705,2.071,0.015,0.023,4470.0,1215.0,1.0
"mu_subject[67, 0]",1.171,0.089,1.012,1.342,0.008,0.005,142.0,670.0,1.01
"mu_subject[67, 1]",-1.229,0.895,-2.976,0.446,0.011,0.015,6373.0,1063.0,1.0
"mu_subject[67, 2]",0.008,1.008,-1.876,1.905,0.013,0.03,6035.0,1250.0,1.0
"mu_subject[68, 0]",-1.36,0.096,-1.55,-1.193,0.013,0.009,59.0,424.0,1.04
"mu_subject[68, 1]",0.615,0.843,-0.939,2.158,0.012,0.015,5240.0,1612.0,1.0
"mu_subject[68, 2]",0.472,0.973,-1.447,2.244,0.013,0.022,5271.0,1346.0,1.0
"mu_subject[69, 0]",0.092,0.089,-0.073,0.25,0.007,0.005,144.0,408.0,1.01
"mu_subject[69, 1]",-1.006,0.896,-2.684,0.726,0.013,0.018,4921.0,1088.0,1.0
"mu_subject[69, 2]",0.159,1.006,-1.902,1.927,0.014,0.029,5080.0,1259.0,1.0
"mu_subject[70, 0]",-0.724,0.098,-0.895,-0.522,0.023,0.017,18.0,125.0,1.07
"mu_subject[70, 1]",0.558,0.865,-1.064,2.178,0.012,0.02,5092.0,943.0,1.01
"mu_subject[70, 2]",0.397,0.933,-1.236,2.183,0.015,0.02,3995.0,1521.0,1.0
"mu_subject[71, 0]",1.476,0.092,1.305,1.644,0.01,0.007,83.0,364.0,1.03
"mu_subject[71, 1]",1.687,0.866,0.153,3.363,0.012,0.011,4968.0,1475.0,1.0
"mu_subject[71, 2]",-0.354,0.939,-2.217,1.278,0.016,0.019,3640.0,1693.0,1.0
"mu_subject[72, 0]",0.529,0.095,0.342,0.692,0.008,0.006,142.0,600.0,1.01
"mu_subject[72, 1]",0.516,0.911,-1.362,2.068,0.013,0.019,4481.0,1174.0,1.0
"mu_subject[72, 2]",0.174,1.003,-1.669,2.142,0.016,0.025,3775.0,1487.0,1.0
"mu_subject[73, 0]",0.92,0.092,0.74,1.082,0.008,0.006,119.0,487.0,1.01
"mu_subject[73, 1]",-0.285,0.888,-1.908,1.331,0.014,0.022,3888.0,1149.0,1.0
