,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"mu[10192, 1]",24.473,0.877,22.747,26.054,0.013,0.009,4341.0,1345.0,1.0
"mu[10192, 2]",50.462,1.173,48.246,52.619,0.019,0.013,3799.0,1681.0,1.0
"mu[10193, 0]",5.967,0.082,5.813,6.119,0.001,0.001,3702.0,1621.0,1.0
"mu[10193, 1]",24.198,0.863,22.616,25.882,0.014,0.01,3865.0,1435.0,1.0
"mu[10193, 2]",49.511,1.179,47.18,51.602,0.019,0.013,3920.0,1560.0,1.0
"mu[10194, 0]",5.776,0.082,5.625,5.927,0.001,0.001,3753.0,1401.0,1.0
"mu[10194, 1]",22.881,0.87,21.162,24.444,0.013,0.009,4297.0,1496.0,1.0
"mu[10194, 2]",49.008,1.178,46.915,51.334,0.019,0.014,3748.0,1598.0,1.0
"mu[10195, 0]",4.399,0.078,4.242,4.535,0.002,0.001,2178.0,1528.0,1.0
"mu[10195, 1]",25.675,0.893,23.896,27.299,0.013,0.009,4996.0,1543.0,1.0
"mu[10195, 2]",46.299,1.121,44.19,48.382,0.019,0.013,3540.0,1478.0,1.0
"mu[10196, 0]",4.46,0.078,4.303,4.595,0.002,0.001,2590.0,1439.0,1.0
"mu[10196, 1]",23.387,0.892,21.708,25.077,0.013,0.009,5022.0,1443.0,1.0
"mu[10196, 2]",48.59,1.186,46.412,50.897,0.019,0.014,3842.0,1708.0,1.0
"mu[10197, 0]",4.487,0.079,4.338,4.636,0.002,0.001,2365.0,1507.0,1.0
"mu[10197, 1]",24.726,0.892,23.084,26.402,0.012,0.009,5320.0,1665.0,1.0
"mu[10197, 2]",51.869,1.2,49.194,53.802,0.02,0.014,3714.0,1586.0,1.0
"mu[10198, 0]",4.516,0.079,4.365,4.662,0.002,0.001,2371.0,1399.0,1.0
"mu[10198, 1]",24.506,0.888,22.882,26.2,0.012,0.009,5232.0,1670.0,1.0
"mu[10198, 2]",51.062,1.213,48.884,53.358,0.019,0.013,3997.0,1505.0,1.0
"mu[10199, 0]",4.355,0.079,4.208,4.499,0.002,0.001,2488.0,1538.0,1.0
"mu[10199, 1]",23.264,0.889,21.587,24.932,0.013,0.009,4985.0,1642.0,1.0
"mu[10199, 2]",50.514,1.192,48.24,52.737,0.02,0.014,3359.0,1462.0,1.0
"mu[10200, 0]",4.162,0.084,4.003,4.315,0.001,0.001,3269.0,1186.0,1.0
"mu[10200, 1]",25.157,0.904,23.454,26.852,0.013,0.009,4507.0,1420.0,1.0
"mu[10200, 2]",44.845,1.139,42.718,47.001,0.019,0.013,3780.0,1663.0,1.0
"mu[10201, 0]",4.262,0.084,4.109,4.418,0.001,0.001,3685.0,1101.0,1.0
"mu[10201, 1]",23.255,0.912,21.424,24.877,0.014,0.01,4257.0,1384.0,1.0
"mu[10201, 2]",47.196,1.192,44.962,49.432,0.018,0.013,4520.0,1348.0,1.0
"mu[10202, 0]",4.276,0.083,4.113,4.425,0.001,0.001,3542.0,1076.0,1.0
"mu[10202, 1]",24.626,0.903,22.845,26.233,0.013,0.009,4552.0,1487.0,1.0
"mu[10202, 2]",50.288,1.156,47.915,52.31,0.017,0.012,4577.0,1498.0,1.0
"mu[10203, 0]",4.299,0.085,4.146,4.463,0.001,0.001,3647.0,1039.0,1.0
"mu[10203, 1]",24.273,0.911,22.474,25.928,0.013,0.009,4608.0,1446.0,1.0
"mu[10203, 2]",49.531,1.187,47.386,51.74,0.019,0.014,3808.0,1583.0,1.0
"mu[10204, 0]",4.133,0.084,3.982,4.293,0.001,0.001,3530.0,1263.0,1.0
"mu[10204, 1]",23.088,0.905,21.48,24.85,0.014,0.01,4188.0,1376.0,1.0
"mu[10204, 2]",48.857,1.159,46.73,51.008,0.018,0.013,4344.0,1518.0,1.0
"mu[10205, 0]",6.297,0.079,6.137,6.435,0.001,0.001,4444.0,1636.0,1.0
"mu[10205, 1]",24.973,0.846,23.402,26.556,0.013,0.009,4213.0,1491.0,1.0
"mu[10205, 2]",44.45,1.124,42.417,46.601,0.019,0.014,3408.0,1064.0,1.0
"mu[10206, 0]",6.396,0.08,6.237,6.535,0.001,0.001,4957.0,1636.0,1.0
"mu[10206, 1]",23.071,0.846,21.549,24.693,0.013,0.009,4159.0,1607.0,1.0
"mu[10206, 2]",46.8,1.207,44.704,49.116,0.019,0.013,3994.0,1610.0,1.0
"mu[10207, 0]",6.411,0.079,6.26,6.559,0.001,0.001,4553.0,1581.0,1.0
"mu[10207, 1]",24.442,0.845,22.887,26.029,0.014,0.01,3831.0,1406.0,1.0
"mu[10207, 2]",49.892,1.147,47.779,52.097,0.018,0.013,3957.0,1131.0,1.0
"mu[10208, 0]",6.434,0.079,6.287,6.582,0.001,0.001,4771.0,1514.0,1.0
"mu[10208, 1]",24.089,0.845,22.456,25.592,0.013,0.01,4015.0,1694.0,1.0
"mu[10208, 2]",49.136,1.175,47.057,51.497,0.02,0.014,3532.0,1480.0,1.0
"mu[10209, 0]",6.268,0.078,6.114,6.411,0.001,0.001,4908.0,1493.0,1.0
"mu[10209, 1]",22.904,0.851,21.304,24.492,0.013,0.01,4056.0,1638.0,1.0
"mu[10209, 2]",48.462,1.198,46.231,50.628,0.019,0.014,3881.0,1493.0,1.0
"mu[10210, 0]",4.492,0.084,4.322,4.636,0.002,0.001,3015.0,1110.0,1.0
"mu[10210, 1]",25.117,0.88,23.481,26.797,0.014,0.01,3893.0,1205.0,1.0
"mu[10210, 2]",46.571,1.105,44.462,48.682,0.017,0.012,4154.0,1556.0,1.0
"mu[10211, 0]",4.613,0.084,4.457,4.767,0.001,0.001,3403.0,1084.0,1.0
"mu[10211, 1]",22.931,0.893,21.25,24.603,0.014,0.01,4046.0,1303.0,1.0
"mu[10211, 2]",48.645,1.142,46.413,50.756,0.017,0.012,4572.0,1651.0,1.0
"mu[10212, 0]",4.632,0.084,4.474,4.791,0.001,0.001,3316.0,1095.0,1.0
"mu[10212, 1]",24.392,0.881,22.619,25.94,0.014,0.01,4165.0,1471.0,1.0
"mu[10212, 2]",51.54,1.121,49.555,53.723,0.017,0.012,4526.0,1380.0,1.0
"mu[10213, 0]",4.653,0.084,4.493,4.799,0.001,0.001,3349.0,1271.0,1.0
"mu[10213, 1]",24.104,0.889,22.308,25.682,0.014,0.01,3948.0,1265.0,1.0
"mu[10213, 2]",50.786,1.112,48.79,53.024,0.017,0.012,4276.0,1607.0,1.0
"mu[10214, 0]",4.477,0.084,4.322,4.636,0.001,0.001,3301.0,1025.0,1.0
"mu[10214, 1]",23.006,0.881,21.397,24.702,0.014,0.01,4078.0,1165.0,1.0
"mu[10214, 2]",50.238,1.129,48.182,52.402,0.019,0.013,3633.0,1596.0,1.0
"mu[10215, 0]",3.772,0.083,3.622,3.934,0.002,0.001,2033.0,1321.0,1.0
"mu[10215, 1]",24.356,0.896,22.628,25.998,0.012,0.008,5835.0,1316.0,1.0
"mu[10215, 2]",44.805,1.127,42.681,46.865,0.019,0.013,3603.0,1348.0,1.0
"mu[10216, 0]",3.872,0.083,3.72,4.035,0.002,0.001,2364.0,1379.0,1.0
"mu[10216, 1]",22.454,0.903,20.858,24.302,0.012,0.009,5585.0,1286.0,1.0
